SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
61,01/24/2020,Guangdong,India,01/24/2020 12:00,28831,1609,44541
62,01/24/2020,California,China,01/24/2020 13:00,56478,4721,2413
63,01/24/2020,Unknown,US,01/24/2020 14:00,62909,3290,18027
64,01/24/2020,Guangdong,China,01/24/2020 15:00,29367,1223,72771
65,01/24/2020,Guangdong,Spain,01/24/2020 16:00,45813,1907,9319
66,01/24/2020,California,Spain,01/24/2020 17:00,20121,1362,28048
67,01/24/2020,Guangdong,India,01/24/2020 18:00,35547,2751,58613
68,01/24/2020,Guangdong,US,01/24/2020 19:00,63642,3969,30372
69,01/24/2020,California,Italy,01/24/2020 20:00,24914,1268,71871
70,01/24/2020,California,US,01/24/2020 21:00,17178,4937,49795
71,01/24/2020,Hubei,China,01/24/2020 22:00,67258,1231,64807
72,01/24/2020,Unknown,Spain,01/24/2020 23:00,79421,4068,64394
73,01/25/2020,Unknown,China,01/25/2020 00:00,60563,1747,40985
74,01/25/2020,Guangdong,India,01/25/2020 01:00,50050,2558,70343
75,01/25/2020,Unknown,Spain,01/25/2020 02:00,62607,737,14950
76,01/25/2020,Guangdong,Italy,01/25/2020 03:00,65638,4436,71872
77,01/25/2020,Hubei,Spain,01/25/2020 04:00,92971,2979,6524
78,01/25/2020,California,US,01/25/2020 05:00,13262,1951,82945
79,01/25/2020,California,US,01/25/2020 06:00,7453,1781,61174
80,01/25/2020,California,Spain,01/25/2020 07:00,45174,529,38490
81,01/25/2020,Unknown,India,01/25/2020 08:00,77760,4129,50220
82,01/25/2020,Hubei,US,01/25/2020 09:00,6172,4418,41898
83,01/25/2020,Unknown,US,01/25/2020 10:00,76788,1204,36866
84,01/25/2020,Unknown,Italy,01/25/2020 11:00,17918,1986,15265
85,01/25/2020,Hubei,Spain,01/25/2020 12:00,7197,346,75200
86,01/25/2020,Hubei,US,01/25/2020 13:00,97127,1215,29830
87,01/25/2020,Hubei,India,01/25/2020 14:00,13677,2768,79138
88,01/25/2020,Hubei,China,01/25/2020 15:00,11039,244,10517
89,01/25/2020,California,Spain,01/25/2020 16:00,27785,2725,82095
90,01/25/2020,New York,Italy,01/25/2020 17:00,4570,3051,8095
91,01/25/2020,New York,US,01/25/2020 18:00,72242,132,47385
92,01/25/2020,Hubei,India,01/25/2020 19:00,11655,1370,50295
93,01/25/2020,New York,Spain,01/25/2020 20:00,98738,2096,22277
94,01/25/2020,New York,India,01/25/2020 21:00,47907,1087,89261
95,01/25/2020,Hubei,India,01/25/2020 22:00,9449,1647,85430
96,01/25/2020,New York,Italy,01/25/2020 23:00,24630,1891,53214
97,01/26/2020,Unknown,Spain,01/26/2020 00:00,74658,1720,40565
98,01/26/2020,Guangdong,US,01/26/2020 01:00,46371,4002,66486
99,01/26/2020,Guangdong,Italy,01/26/2020 02:00,10991,2260,48882
100,01/26/2020,Hubei,US,01/26/2020 03:00,24887,118,53822
101,01/26/2020,California,China,01/26/2020 04:00,13859,2903,1920
102,01/26/2020,Hubei,India,01/26/2020 05:00,23640,2808,9876
103,01/26/2020,California,China,01/26/2020 06:00,48339,894,21996
104,01/26/2020,Guangdong,India,01/26/2020 07:00,91068,1265,6419
105,01/26/2020,Hubei,Italy,01/26/2020 08:00,53235,362,9160
106,01/26/2020,Unknown,US,01/26/2020 09:00,2512,1773,31706
107,01/26/2020,New York,US,01/26/2020 10:00,80982,313,38940
108,01/26/2020,California,Italy,01/26/2020 11:00,21912,1706,38698
109,01/26/2020,New York,Spain,01/26/2020 12:00,99567,3465,69344
110,01/26/2020,New York,China,01/26/2020 13:00,35515,4367,44275
111,01/26/2020,Hubei,China,01/26/2020 14:00,15416,1789,47424
112,01/26/2020,New York,US,01/26/2020 15:00,72816,2393,37506
113,01/26/2020,Unknown,US,01/26/2020 16:00,76510,3610,22879
114,01/26/2020,New York,US,01/26/2020 17:00,43746,3694,79140
115,01/26/2020,Hubei,Italy,01/26/2020 18:00,43775,2280,20773
116,01/26/2020,Unknown,Spain,01/26/2020 19:00,12227,989,79344
117,01/26/2020,Guangdong,China,01/26/2020 20:00,13031,3680,78570
118,01/26/2020,New York,India,01/26/2020 21:00,33000,2463,3884
119,01/26/2020,Hubei,Italy,01/26/2020 22:00,51253,904,83501
120,01/26/2020,Guangdong,China,01/26/2020 23:00,67564,3044,31803
121,01/27/2020,Guangdong,Spain,01/27/2020 00:00,95969,3397,20063
122,01/27/2020,California,Italy,01/27/2020 01:00,18313,3997,20236
123,01/27/2020,Unknown,China,01/27/2020 02:00,75186,4839,31262
124,01/27/2020,New York,Italy,01/27/2020 03:00,91760,910,51579
125,01/27/2020,Hubei,China,01/27/2020 04:00,57751,2607,82243
126,01/27/2020,California,China,01/27/2020 05:00,52492,1745,70717
127,01/27/2020,Unknown,Spain,01/27/2020 06:00,30364,2123,60336
128,01/27/2020,California,India,01/27/2020 07:00,18361,4342,18484
129,01/27/2020,Unknown,Spain,01/27/2020 08:00,67949,1851,63026
130,01/27/2020,Unknown,China,01/27/2020 09:00,31070,4671,78504
131,01/27/2020,New York,Italy,01/27/2020 10:00,22409,3765,13280
132,01/27/2020,Unknown,Spain,01/27/2020 11:00,29854,1615,2754
133,01/27/2020,California,India,01/27/2020 12:00,96742,2390,83392
134,01/27/2020,Unknown,China,01/27/2020 13:00,29655,2762,50258
135,01/27/2020,New York,Spain,01/27/2020 14:00,9952,1205,43386
136,01/27/2020,New York,Spain,01/27/2020 15:00,36365,4026,31365
137,01/27/2020,California,Spain,01/27/2020 16:00,83298,2679,81353
138,01/27/2020,Guangdong,Spain,01/27/2020 17:00,66156,2446,29604
139,01/27/2020,Guangdong,Italy,01/27/2020 18:00,99233,3312,1803
140,01/27/2020,Unknown,India,01/27/2020 19:00,56724,4387,8272
141,01/27/2020,Hubei,India,01/27/2020 20:00,15455,2101,81204
142,01/27/2020,Unknown,China,01/27/2020 21:00,87746,3216,27117
143,01/27/2020,California,US,01/27/2020 22:00,47673,3669,87275
144,01/27/2020,California,Italy,01/27/2020 23:00,974,3030,44699
145,01/28/2020,California,China,01/28/2020 00:00,12679,2524,68524
146,01/28/2020,California,China,01/28/2020 01:00,61791,4117,7204
147,01/28/2020,California,Spain,01/28/2020 02:00,27429,3307,78564
148,01/28/2020,New York,US,01/28/2020 03:00,18073,2742,74052
149,01/28/2020,Guangdong,US,01/28/2020 04:00,70207,1961,62519
150,01/28/2020,California,Italy,01/28/2020 05:00,30365,4625,31864
151,01/28/2020,Hubei,US,01/28/2020 06:00,55928,3621,50386
152,01/28/2020,Hubei,China,01/28/2020 07:00,74453,100,16486
153,01/28/2020,Hubei,US,01/28/2020 08:00,7784,1313,14774
154,01/28/2020,Hubei,US,01/28/2020 09:00,98962,3448,66282
155,01/28/2020,New York,India,01/28/2020 10:00,12291,3244,14373
156,01/28/2020,Hubei,China,01/28/2020 11:00,84462,1901,37676
157,01/28/2020,California,US,01/28/2020 12:00,26154,4674,3691
158,01/28/2020,Unknown,US,01/28/2020 13:00,25650,1214,44445
159,01/28/2020,Hubei,Spain,01/28/2020 14:00,68741,3626,25823
160,01/28/2020,New York,US,01/28/2020 15:00,95830,789,54564
161,01/28/2020,New York,US,01/28/2020 16:00,36201,1366,67255
162,01/28/2020,Hubei,India,01/28/2020 17:00,39479,3623,51354
163,01/28/2020,Unknown,China,01/28/2020 18:00,72920,502,87071
164,01/28/2020,Hubei,Italy,01/28/2020 19:00,82797,172,6026
165,01/28/2020,New York,China,01/28/2020 20:00,50243,886,43496
166,01/28/2020,Guangdong,Spain,01/28/2020 21:00,68595,1417,14073
167,01/28/2020,California,China,01/28/2020 22:00,31734,3532,21836
168,01/28/2020,New York,US,01/28/2020 23:00,88927,4368,65186
169,01/29/2020,Hubei,Spain,01/29/2020 00:00,81451,3429,7184
170,01/29/2020,California,China,01/29/2020 01:00,99978,1409,60829
171,01/29/2020,Hubei,Spain,01/29/2020 02:00,42568,2923,1789
172,01/29/2020,Hubei,Italy,01/29/2020 03:00,25793,4953,30353
173,01/29/2020,Guangdong,China,01/29/2020 04:00,52204,1910,26340
174,01/29/2020,California,US,01/29/2020 05:00,46746,260,47343
175,01/29/2020,California,Spain,01/29/2020 06:00,31989,3352,27933
176,01/29/2020,Guangdong,India,01/29/2020 07:00,49465,1352,13686
177,01/29/2020,New York,Spain,01/29/2020 08:00,90841,1499,79887
178,01/29/2020,Hubei,India,01/29/2020 09:00,61383,4373,29258
179,01/29/2020,Unknown,US,01/29/2020 10:00,16767,2140,33027
180,01/29/2020,Hubei,Italy,01/29/2020 11:00,38652,3006,18302
181,01/29/2020,Hubei,India,01/29/2020 12:00,83732,3618,87438
182,01/29/2020,New York,Italy,01/29/2020 13:00,84244,822,55755
183,01/29/2020,Hubei,Spain,01/29/2020 14:00,13383,531,47002
184,01/29/2020,Guangdong,US,01/29/2020 15:00,70784,2820,26362
185,01/29/2020,Guangdong,India,01/29/2020 16:00,60089,166,7252
186,01/29/2020,California,Spain,01/29/2020 17:00,26440,4926,65635
187,01/29/2020,Unknown,China,01/29/2020 18:00,52443,4331,69441
188,01/29/2020,Hubei,Spain,01/29/2020 19:00,56325,1055,15090
189,01/29/2020,Hubei,Italy,01/29/2020 20:00,86766,1254,35110
190,01/29/2020,New York,US,01/29/2020 21:00,95190,4286,73627
191,01/29/2020,Guangdong,US,01/29/2020 22:00,55919,4007,52385
192,01/29/2020,Unknown,Spain,01/29/2020 23:00,16611,4708,5024
193,01/30/2020,California,China,01/30/2020 00:00,63483,1531,11441
194,01/30/2020,Guangdong,Italy,01/30/2020 01:00,22457,3528,82247
195,01/30/2020,California,Spain,01/30/2020 02:00,10256,4042,42311
196,01/30/2020,New York,Spain,01/30/2020 03:00,54856,972,27387
197,01/30/2020,New York,US,01/30/2020 04:00,40533,3824,67825
198,01/30/2020,Hubei,Italy,01/30/2020 05:00,99826,4744,76890
199,01/30/2020,Unknown,China,01/30/2020 06:00,98995,105,11291
200,01/30/2020,California,US,01/30/2020 07:00,28281,1604,31386
201,01/30/2020,Guangdong,Spain,01/30/2020 08:00,67275,3773,9702
202,01/30/2020,New York,US,01/30/2020 09:00,1525,4287,43128
203,01/30/2020,Hubei,US,01/30/2020 10:00,16453,1002,80941
204,01/30/2020,Hubei,India,01/30/2020 11:00,6251,4730,27762
205,01/30/2020,California,US,01/30/2020 12:00,19507,84,3239
206,01/30/2020,New York,US,01/30/2020 13:00,79396,2995,61874
207,01/30/2020,Unknown,Italy,01/30/2020 14:00,86644,4823,63971
208,01/30/2020,New York,US,01/30/2020 15:00,27906,3287,12567
209,01/30/2020,California,China,01/30/2020 16:00,73185,4165,85737
210,01/30/2020,California,Spain,01/30/2020 17:00,99591,153,6857
211,01/30/2020,New York,Italy,01/30/2020 18:00,13193,1461,65603
212,01/30/2020,California,US,01/30/2020 19:00,96558,2812,75399
213,01/30/2020,New York,China,01/30/2020 20:00,97192,2019,58086
214,01/30/2020,Guangdong,Spain,01/30/2020 21:00,81449,1097,89145
215,01/30/2020,New York,Italy,01/30/2020 22:00,64042,570,32270
216,01/30/2020,New York,China,01/30/2020 23:00,59516,148,2012
217,01/31/2020,California,US,01/31/2020 00:00,81165,3577,59049
218,01/31/2020,California,India,01/31/2020 01:00,30692,2691,84989
219,01/31/2020,Hubei,India,01/31/2020 02:00,70490,2109,89586
220,01/31/2020,Hubei,Italy,01/31/2020 03:00,33512,1918,65826
221,01/31/2020,Guangdong,China,01/31/2020 04:00,10719,4869,39080
222,01/31/2020,Hubei,Spain,01/31/2020 05:00,55427,3655,56879
223,01/31/2020,New York,China,01/31/2020 06:00,27649,1712,69215
224,01/31/2020,California,India,01/31/2020 07:00,12402,2492,53062
225,01/31/2020,Hubei,Italy,01/31/2020 08:00,9216,1344,65888
226,01/31/2020,Hubei,US,01/31/2020 09:00,31050,3965,18210
227,01/31/2020,Guangdong,China,01/31/2020 10:00,95808,1106,37146
228,01/31/2020,Guangdong,India,01/31/2020 11:00,50093,3505,36166
229,01/31/2020,New York,Spain,01/31/2020 12:00,5050,4112,3006
230,01/31/2020,California,Italy,01/31/2020 13:00,46716,582,1004
231,01/31/2020,Guangdong,US,01/31/2020 14:00,2438,4350,47580
232,01/31/2020,Hubei,China,01/31/2020 15:00,47431,2690,5967
233,01/31/2020,California,Spain,01/31/2020 16:00,16760,4656,71964
234,01/31/2020,California,US,01/31/2020 17:00,77614,2580,34846
235,01/31/2020,Hubei,India,01/31/2020 18:00,16473,319,18879
236,01/31/2020,Guangdong,India,01/31/2020 19:00,43815,4315,2261
237,01/31/2020,Hubei,Spain,01/31/2020 20:00,62460,4794,28340
238,01/31/2020,California,India,01/31/2020 21:00,9257,1437,67273
239,01/31/2020,Unknown,Italy,01/31/2020 22:00,87986,31,32323
240,01/31/2020,Unknown,Spain,01/31/2020 23:00,25634,714,35864
241,02/01/2020,New York,India,02/01/2020 00:00,60403,1039,7927
242,02/01/2020,Hubei,China,02/01/2020 01:00,46573,408,64884
243,02/01/2020,Hubei,India,02/01/2020 02:00,28648,1127,35212
244,02/01/2020,New York,Italy,02/01/2020 03:00,92712,706,82256
245,02/01/2020,New York,US,02/01/2020 04:00,48980,3839,84903
246,02/01/2020,New York,US,02/01/2020 05:00,10296,3023,41927
247,02/01/2020,California,India,02/01/2020 06:00,60197,3659,54150
248,02/01/2020,Hubei,US,02/01/2020 07:00,21959,782,58647
249,02/01/2020,California,India,02/01/2020 08:00,14570,2179,13056
250,02/01/2020,New York,Italy,02/01/2020 09:00,35423,1178,10862
251,02/01/2020,Hubei,US,02/01/2020 10:00,80263,2406,10798
252,02/01/2020,California,China,02/01/2020 11:00,17899,2807,59058
253,02/01/2020,California,India,02/01/2020 12:00,35785,4260,51747
254,02/01/2020,New York,US,02/01/2020 13:00,62806,2764,35738
255,02/01/2020,Hubei,Italy,02/01/2020 14:00,56963,2724,59945
256,02/01/2020,New York,Italy,02/01/2020 15:00,77875,2535,82398
257,02/01/2020,Hubei,China,02/01/2020 16:00,34341,212,17227
258,02/01/2020,Unknown,Italy,02/01/2020 17:00,5597,1948,34393
259,02/01/2020,Guangdong,Italy,02/01/2020 18:00,92648,4861,83800
260,02/01/2020,Guangdong,US,02/01/2020 19:00,10244,3146,59461
261,02/01/2020,Guangdong,India,02/01/2020 20:00,3796,1201,57848
262,02/01/2020,New York,Spain,02/01/2020 21:00,75589,1819,24685
263,02/01/2020,Unknown,Italy,02/01/2020 22:00,28528,2889,3480
264,02/01/2020,Hubei,Italy,02/01/2020 23:00,18648,644,15860
265,02/02/2020,California,Spain,02/02/2020 00:00,83967,2359,68578
266,02/02/2020,Hubei,Italy,02/02/2020 01:00,535,4222,57230
267,02/02/2020,California,US,02/02/2020 02:00,48469,4472,57026
268,02/02/2020,Hubei,US,02/02/2020 03:00,64912,4320,6564
269,02/02/2020,Unknown,Spain,02/02/2020 04:00,44493,3088,20012
270,02/02/2020,California,Italy,02/02/2020 05:00,72417,496,54169
271,02/02/2020,New York,Italy,02/02/2020 06:00,45785,2016,26341
272,02/02/2020,Hubei,India,02/02/2020 07:00,85017,472,56758
273,02/02/2020,Hubei,Italy,02/02/2020 08:00,66561,1888,83121
274,02/02/2020,California,US,02/02/2020 09:00,30869,3382,46841
275,02/02/2020,New York,China,02/02/2020 10:00,65094,1160,43335
276,02/02/2020,New York,China,02/02/2020 11:00,30192,2522,55155
277,02/02/2020,Unknown,China,02/02/2020 12:00,69157,4312,81147
278,02/02/2020,New York,China,02/02/2020 13:00,96102,195,29527
279,02/02/2020,New York,Italy,02/02/2020 14:00,86483,2248,48775
280,02/02/2020,New York,Italy,02/02/2020 15:00,79941,4461,50653
281,02/02/2020,Guangdong,India,02/02/2020 16:00,57544,2766,24704
282,02/02/2020,Unknown,Italy,02/02/2020 17:00,4403,1551,33057
283,02/02/2020,Hubei,China,02/02/2020 18:00,36091,2447,7393
284,02/02/2020,California,Spain,02/02/2020 19:00,52510,4309,75404
285,02/02/2020,Hubei,Spain,02/02/2020 20:00,88061,2388,40373
286,02/02/2020,Unknown,US,02/02/2020 21:00,5017,3006,84613
287,02/02/2020,California,US,02/02/2020 22:00,39203,118,59171
288,02/02/2020,Unknown,Italy,02/02/2020 23:00,56473,3496,29336
289,02/03/2020,New York,Spain,02/03/2020 00:00,52123,1716,58714
290,02/03/2020,California,China,02/03/2020 01:00,48260,2883,12985
291,02/03/2020,New York,China,02/03/2020 02:00,45938,4937,12014
292,02/03/2020,Hubei,China,02/03/2020 03:00,57929,2914,8374
293,02/03/2020,Hubei,Italy,02/03/2020 04:00,85265,1672,85506
294,02/03/2020,California,Italy,02/03/2020 05:00,93966,1202,22299
295,02/03/2020,California,India,02/03/2020 06:00,37372,1455,27331
296,02/03/2020,Unknown,China,02/03/2020 07:00,53252,4661,5584
297,02/03/2020,Unknown,China,02/03/2020 08:00,14628,3978,12965
298,02/03/2020,New York,Italy,02/03/2020 09:00,12501,2471,84769
299,02/03/2020,California,Italy,02/03/2020 10:00,30131,117,20819
300,02/03/2020,Hubei,India,02/03/2020 11:00,89102,367,28782
301,02/03/2020,Unknown,India,02/03/2020 12:00,89360,3176,79035
302,02/03/2020,Unknown,US,02/03/2020 13:00,68348,3374,85847
303,02/03/2020,Hubei,Spain,02/03/2020 14:00,98348,3812,88434
304,02/03/2020,Unknown,China,02/03/2020 15:00,92862,2197,60773
305,02/03/2020,New York,China,02/03/2020 16:00,9402,4911,23824
306,02/03/2020,California,India,02/03/2020 17:00,91861,2129,14110
307,02/03/2020,Hubei,India,02/03/2020 18:00,55956,900,47707
308,02/03/2020,California,US,02/03/2020 19:00,51920,192,88512
309,02/03/2020,Unknown,Spain,02/03/2020 20:00,26000,2770,5825
310,02/03/2020,Unknown,US,02/03/2020 21:00,89795,3348,3488
311,02/03/2020,Hubei,Spain,02/03/2020 22:00,67462,950,67431
312,02/03/2020,New York,China,02/03/2020 23:00,66392,3606,68444
313,02/04/2020,Guangdong,US,02/04/2020 00:00,5988,257,66947
314,02/04/2020,Hubei,India,02/04/2020 01:00,74279,1221,5457
315,02/04/2020,Guangdong,US,02/04/2020 02:00,56999,650,77110
316,02/04/2020,Guangdong,US,02/04/2020 03:00,69674,2318,38216
317,02/04/2020,New York,China,02/04/2020 04:00,81618,4491,8847
318,02/04/2020,Guangdong,India,02/04/2020 05:00,53426,2425,88212
319,02/04/2020,Guangdong,India,02/04/2020 06:00,58824,922,41309
320,02/04/2020,New York,Italy,02/04/2020 07:00,98910,3159,14658
321,02/04/2020,Guangdong,Italy,02/04/2020 08:00,74399,397,88928
322,02/04/2020,Guangdong,Italy,02/04/2020 09:00,60659,2914,17527
323,02/04/2020,Guangdong,China,02/04/2020 10:00,37790,560,29676
324,02/04/2020,Hubei,US,02/04/2020 11:00,95343,189,16781
325,02/04/2020,Hubei,India,02/04/2020 12:00,22118,204,645
326,02/04/2020,Hubei,India,02/04/2020 13:00,52025,3015,78236
327,02/04/2020,New York,US,02/04/2020 14:00,59938,4139,23990
328,02/04/2020,Unknown,India,02/04/2020 15:00,5149,3371,86052
329,02/04/2020,Guangdong,US,02/04/2020 16:00,38079,3041,18618
330,02/04/2020,Guangdong,China,02/04/2020 17:00,2484,1705,61859
331,02/04/2020,New York,China,02/04/2020 18:00,55474,712,76500
332,02/04/2020,Guangdong,China,02/04/2020 19:00,90727,3456,58827
333,02/04/2020,Hubei,US,02/04/2020 20:00,48601,2684,1962
334,02/04/2020,Unknown,US,02/04/2020 21:00,43809,4406,39241
335,02/04/2020,California,Spain,02/04/2020 22:00,20791,4973,40251
336,02/04/2020,Guangdong,India,02/04/2020 23:00,69343,3599,62397
337,02/05/2020,Hubei,India,02/05/2020 00:00,26648,4952,69951
338,02/05/2020,California,Spain,02/05/2020 01:00,31090,2321,55770
339,02/05/2020,Unknown,Spain,02/05/2020 02:00,90636,3877,31545
340,02/05/2020,California,China,02/05/2020 03:00,96485,3522,8705
341,02/05/2020,Hubei,Spain,02/05/2020 04:00,17857,4626,10704
342,02/05/2020,California,US,02/05/2020 05:00,62327,4112,32119
343,02/05/2020,New York,Italy,02/05/2020 06:00,93386,2765,28671
344,02/05/2020,California,US,02/05/2020 07:00,42967,4565,21203
345,02/05/2020,Guangdong,Spain,02/05/2020 08:00,53709,4906,81927
346,02/05/2020,Guangdong,India,02/05/2020 09:00,67948,554,12451
347,02/05/2020,New York,US,02/05/2020 10:00,48861,2140,24516
348,02/05/2020,Hubei,India,02/05/2020 11:00,68718,4977,75856
349,02/05/2020,Guangdong,US,02/05/2020 12:00,20948,2678,58642
350,02/05/2020,Unknown,India,02/05/2020 13:00,33782,4916,45976
351,02/05/2020,Guangdong,US,02/05/2020 14:00,50756,583,19330
352,02/05/2020,Guangdong,India,02/05/2020 15:00,82789,4941,87656
353,02/05/2020,Hubei,Italy,02/05/2020 16:00,68388,1996,34612
354,02/05/2020,California,China,02/05/2020 17:00,84528,841,31790
355,02/05/2020,Guangdong,US,02/05/2020 18:00,66809,2375,87606
356,02/05/2020,New York,Italy,02/05/2020 19:00,7649,4038,19449
357,02/05/2020,California,China,02/05/2020 20:00,29002,1804,74830
358,02/05/2020,Unknown,US,02/05/2020 21:00,34723,729,32256
359,02/05/2020,Hubei,Italy,02/05/2020 22:00,74314,4349,7190
360,02/05/2020,Unknown,Italy,02/05/2020 23:00,90312,1463,45493
361,02/06/2020,California,Italy,02/06/2020 00:00,70085,4946,11561
362,02/06/2020,California,Spain,02/06/2020 01:00,81399,2167,20431
363,02/06/2020,California,India,02/06/2020 02:00,11809,4917,29617
364,02/06/2020,Unknown,China,02/06/2020 03:00,58169,1572,13571
365,02/06/2020,California,India,02/06/2020 04:00,8302,4966,9
366,02/06/2020,Unknown,India,02/06/2020 05:00,8100,1393,80739
367,02/06/2020,California,India,02/06/2020 06:00,68447,256,43791
368,02/06/2020,New York,Italy,02/06/2020 07:00,77627,127,70857
369,02/06/2020,California,India,02/06/2020 08:00,74635,1382,53368
370,02/06/2020,Unknown,Spain,02/06/2020 09:00,55020,3728,75914
371,02/06/2020,Guangdong,US,02/06/2020 10:00,5663,4651,48847
372,02/06/2020,California,Italy,02/06/2020 11:00,95440,2700,73042
373,02/06/2020,Guangdong,China,02/06/2020 12:00,93827,3147,75755
374,02/06/2020,New York,US,02/06/2020 13:00,44649,2205,34224
375,02/06/2020,Hubei,US,02/06/2020 14:00,47136,4180,40094
376,02/06/2020,New York,US,02/06/2020 15:00,36104,321,62818
377,02/06/2020,California,India,02/06/2020 16:00,39137,2356,10086
378,02/06/2020,Guangdong,India,02/06/2020 17:00,2534,4379,40544
379,02/06/2020,Guangdong,Italy,02/06/2020 18:00,67762,3113,18955
380,02/06/2020,Unknown,India,02/06/2020 19:00,52445,1917,47660
381,02/06/2020,Guangdong,India,02/06/2020 20:00,9585,3956,73736
382,02/06/2020,Unknown,India,02/06/2020 21:00,92796,4709,71168
383,02/06/2020,Hubei,Italy,02/06/2020 22:00,92947,2696,79236
384,02/06/2020,California,Italy,02/06/2020 23:00,98470,1516,34630
385,02/07/2020,Unknown,Spain,02/07/2020 00:00,76438,3293,50385
386,02/07/2020,Hubei,Spain,02/07/2020 01:00,36392,4324,85045
387,02/07/2020,Guangdong,Spain,02/07/2020 02:00,84267,3045,4711
388,02/07/2020,Guangdong,Spain,02/07/2020 03:00,83324,118,30871
389,02/07/2020,Hubei,US,02/07/2020 04:00,31126,2371,2457
390,02/07/2020,Guangdong,US,02/07/2020 05:00,42485,4415,76732
